id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1134705943340042285,Fin enebolig i utkanten av Oslo,18365661,Lars Kristian,,Alna,59.91026541274373,10.862719094205644,Entire home/apt,,7,1,2024-08-03,0.53,1,0,1,
42932,"Charming apartment, Oslo Center, Ro",187463,Cecilie,,Frogner,59.91201,10.72455,Entire home/apt,3400,4,54,2024-08-25,0.40,2,334,3,
71725,Central big room - ap with balcony,368229,Reidun,,Gamle Oslo,59.90795,10.77987,Private room,586,14,56,2024-05-15,0.34,1,334,2,
85902,"Eclectic design home, super central",250159,Melissa,,Gamle Oslo,59.91074,10.77232,Entire home/apt,,3,81,2024-08-03,0.50,2,0,4,
123041,"Cozy room in design apartment, central east side",250159,Melissa,,Gamle Oslo,59.91253,10.77205,Private room,,1,236,2024-08-11,1.46,2,0,1,
149776,Bird's nest in the heart of Oslo,714768,Henrik,,St. Hanshaugen,59.92398,10.74787,Private room,1055,5,44,2024-07-02,0.27,2,365,1,
165218,"Bedroom, nice riverview, in Oslo",787976,Jon,,Sagene,59.9375,10.76554,Private room,520,2,23,2024-09-10,0.14,1,22,2,
174372,New spacious central 2BR w/terrace,114189,Christina,,Sagene,59.93024,10.75964,Entire home/apt,9346,100,35,2014-10-26,0.22,2,365,0,
256459,Apartment in seaside villa 12 min from city centre,1347737,Kåre & Truls,,Nordstrand,59.84704,10.7778,Entire home/apt,871,1,401,2024-09-20,2.75,3,326,43,
275790,"Peaceful, central with balcony.",793479,Espen,,Sagene,59.93061,10.75375,Entire home/apt,962,13,22,2024-09-26,0.14,1,331,5,
284644,Central Room perfect for Solo Traveler,1324869,Bente,,Gamle Oslo,59.91826,10.76147,Private room,700,3,109,2024-09-23,0.73,1,5,9,
314213,"VERY CENTRAL, peaceful  in the heart of Oslo.",1614549,Peter Piotr,,Grünerløkka,59.92085,10.74995,Private room,571,5,126,2024-06-21,0.82,2,306,4,
397657,Charming apartment in central Oslo,1986686,Hanne,,Grünerløkka,59.92634,10.75088,Entire home/apt,1214,3,23,2024-08-05,0.21,1,23,5,
405953,Wonderful central loft apartment,2023264,Marius,,Grünerløkka,59.92009,10.76796,Entire home/apt,,4,8,2022-07-21,0.09,1,330,0,
500008,"10 min to Oslo Central Station, Garden Fjord view",2381047,Volkolas,,Nordstrand,59.88523,10.76879,Entire home/apt,,2,104,2019-11-08,0.70,1,0,0,
503782,Central Grünerløkka,2484478,Jarle,,Grünerløkka,59.92428,10.75828,Entire home/apt,1950,3,41,2024-09-22,0.30,1,2,13,
590834,"Nice apartment, close to tram, bus and train",2914938,Bent,,Nordre Aker,59.96531,10.77889,Entire home/apt,740,30,8,2023-12-23,0.05,1,292,1,
613873,Loft in a stable,1272535,Elin Killie,,Grünerløkka,59.92132,10.75942,Entire home/apt,1575,1,26,2024-07-11,0.19,1,362,2,
634884,"Central, Clean, Chic, Cozy & WIFI",3162475,Merete,,Gamle Oslo,59.91455638023083,10.763431436150334,Private room,,1,294,2023-10-21,1.99,1,0,1,
724117,Central Oslo / St. Hanshaugen / Quiet / Cosy,2425978,Kjersti,,St. Hanshaugen,59.93254,10.73999,Entire home/apt,1900,2,2,2023-12-27,0.15,1,48,1,
739069,Spacious New Central Designer Loft w terraces,3389744,Christian,,Sentrum,59.9112,10.74484,Private room,,1,17,2024-08-17,0.12,1,0,11,
760266,In the heart of the city,3996622,Per Martin,,Gamle Oslo,59.912159,10.760248,Private room,1429,1,942,2024-09-12,6.56,1,357,114,
761018,Lovely bedroom in beautiful area.,4011871,Mona Johanne,,Frogner,59.91755,10.71428,Private room,461,1,1184,2024-09-24,8.24,1,118,103,
773722,Oslo City Apt in the heart of Oslo,1386261,Gangadai,,Gamle Oslo,59.91318,10.76433,Entire home/apt,3393,1,116,2024-08-15,0.81,3,360,9,
789864,"""Heart of Oslo"" by the Opera House.",3854740,Torbjørn,,Gamle Oslo,59.90704,10.75752,Entire home/apt,1000,60,27,2024-05-28,0.19,1,210,1,
869173,Bright 72 m2 apartment with amazing views,4578764,Tove,,St. Hanshaugen,59.92017,10.74694,Entire home/apt,1800,2,20,2024-08-25,0.18,1,363,4,
921279,"CENTRAL, IDYLLIC, BRIGHT 1 BRM APT",4515346,Arild & Trine,,St. Hanshaugen,59.92471,10.7375,Entire home/apt,,31,92,2024-08-04,0.66,1,0,7,
977648,SEAFRONT MODERN LUXURY IN OSLO!,1933196,Nils,,Frogner,59.90625,10.7187,Entire home/apt,2094,2,266,2024-09-08,1.91,1,268,19,
981888,Cosy  room located at Majorstua,5377617,Stian,,Frogner,59.93164,10.71511,Private room,600,2,10,2023-05-03,0.07,2,89,0,
